seed,condition,layer,factor,probe_bacc,cross_context_bacc
16120,unified_behavior_only,0,identity,0.5,0.5
16120,unified_behavior_only,0,beneficiary,0.5,0.5
16120,unified_behavior_only,0,concern,0.5,0.5
16120,unified_behavior_only,1,identity,0.9992478206550424,0.5
16120,unified_behavior_only,1,beneficiary,1.0,0.5205
16120,unified_behavior_only,1,concern,1.0,0.9654471544715448
16120,unified_behavior_only,2,identity,0.9972731779871096,0.5014925373134328
16120,unified_behavior_only,2,beneficiary,1.0,0.544
16120,unified_behavior_only,2,concern,0.9992488733099648,0.8922764227642277
16120,unified_behavior_only,3,identity,0.9972731779871096,0.5014925373134328
16120,unified_behavior_only,3,beneficiary,1.0,0.544
16120,unified_behavior_only,3,concern,0.9992488733099648,0.8917682926829269
16121,unified_behavior_only,0,identity,0.5,0.5
16121,unified_behavior_only,0,beneficiary,0.5,0.5
16121,unified_behavior_only,0,concern,0.5,0.5
16121,unified_behavior_only,1,identity,0.9997534516765286,0.5
16121,unified_behavior_only,1,beneficiary,1.0,0.5
16121,unified_behavior_only,1,concern,1.0,0.5370187561697927
16121,unified_behavior_only,2,identity,0.9737903629111306,0.5
16121,unified_behavior_only,2,beneficiary,0.99124846499386,0.5114656031904287
16121,unified_behavior_only,2,concern,1.0,0.7309970384995064
16121,unified_behavior_only,3,identity,0.9737903629111306,0.5
16121,unified_behavior_only,3,beneficiary,0.99124846499386,0.5114656031904287
16121,unified_behavior_only,3,concern,1.0,0.7314906219151036
16122,unified_behavior_only,0,identity,0.5,0.5
16122,unified_behavior_only,0,beneficiary,0.5,0.5
16122,unified_behavior_only,0,concern,0.5,0.5
16122,unified_behavior_only,1,identity,0.9987469592853656,0.5
16122,unified_behavior_only,1,beneficiary,1.0,0.5
16122,unified_behavior_only,1,concern,1.0,0.5701581027667985
16122,unified_behavior_only,2,identity,0.9932634840957716,0.5
16122,unified_behavior_only,2,beneficiary,0.9992527761796496,0.5
16122,unified_behavior_only,2,concern,0.999755501222494,0.99901185770751
16122,unified_behavior_only,3,identity,0.9927576672014874,0.5
16122,unified_behavior_only,3,beneficiary,0.9992527761796496,0.5
16122,unified_behavior_only,3,concern,0.999755501222494,0.99901185770751
16120,unified_multitask,0,identity,0.5,0.5
16120,unified_multitask,0,beneficiary,0.5,0.5
16120,unified_multitask,0,concern,0.5,0.5
16120,unified_multitask,1,identity,1.0,0.5
16120,unified_multitask,1,beneficiary,1.0,0.5
16120,unified_multitask,1,concern,1.0,1.0
16120,unified_multitask,2,identity,1.0,1.0
16120,unified_multitask,2,beneficiary,1.0,1.0
16120,unified_multitask,2,concern,1.0,1.0
16120,unified_multitask,3,identity,1.0,1.0
16120,unified_multitask,3,beneficiary,1.0,1.0
16120,unified_multitask,3,concern,1.0,1.0
16121,unified_multitask,0,identity,0.5,0.5
16121,unified_multitask,0,beneficiary,0.5,0.5
16121,unified_multitask,0,concern,0.5,0.5
16121,unified_multitask,1,identity,0.988702285647987,0.5
16121,unified_multitask,1,beneficiary,0.984495937983752,0.5
16121,unified_multitask,1,concern,1.0,0.9743336623889438
16121,unified_multitask,2,identity,1.0,1.0
16121,unified_multitask,2,beneficiary,1.0,1.0
16121,unified_multitask,2,concern,1.0,1.0
16121,unified_multitask,3,identity,1.0,1.0
16121,unified_multitask,3,beneficiary,1.0,1.0
16121,unified_multitask,3,concern,1.0,1.0
16122,unified_multitask,0,identity,0.5,0.5
16122,unified_multitask,0,beneficiary,0.5,0.5
16122,unified_multitask,0,concern,0.5,0.5
16122,unified_multitask,1,identity,0.999258526940188,0.5
16122,unified_multitask,1,beneficiary,1.0,0.524949083503055
16122,unified_multitask,1,concern,1.0,0.966890302343818
16122,unified_multitask,2,identity,1.0,0.9970817120622568
16122,unified_multitask,2,beneficiary,1.0,0.9877800407331976
16122,unified_multitask,2,concern,1.0,1.0
16122,unified_multitask,3,identity,1.0,0.9970817120622568
16122,unified_multitask,3,beneficiary,1.0,0.9872708757637474
16122,unified_multitask,3,concern,1.0,1.0
